0	0.943346
0.00909091	0.943918
0.0181818	0.944489
0.0272727	0.945061
0.0363636	0.945632
0.0454545	0.946204
0.0545455	0.946775
0.0636364	0.947347
0.0727273	0.947918
0.0818182	0.948489
0.0909091	0.949059
0.1	0.94963
0.109091	0.950201
0.118182	0.950771
0.127273	0.951341
0.136364	0.951912
0.145455	0.952481
0.154545	0.953051
0.163636	0.953621
0.172727	0.95419
0.181818	0.954759
0.190909	0.955328
0.2	0.955897
0.209091	0.956465
0.218182	0.957034
0.227273	0.957602
0.236364	0.958169
0.245455	0.958737
0.254545	0.959304
0.263636	0.959871
0.272727	0.960438
0.281818	0.961004
0.290909	0.96157
0.3	0.962136
0.309091	0.962702
0.318182	0.963267
0.327273	0.963832
0.336364	0.964396
0.345455	0.96496
0.354545	0.965524
0.363636	0.966087
0.372727	0.96665
0.381818	0.967213
0.390909	0.967775
0.4	0.968337
0.409091	0.968899
0.418182	0.96946
0.427273	0.97002
0.436364	0.970581
0.445455	0.97114
0.454545	0.9717
0.463636	0.972259
0.472727	0.972817
0.481818	0.973375
0.490909	0.973932
0.5	0.974489
0.509091	0.975046
0.518182	0.975601
0.527273	0.976157
0.536364	0.976711
0.545455	0.977266
0.554545	0.977819
0.563636	0.978372
0.572727	0.978925
0.581818	0.979477
0.590909	0.980028
0.6	0.980579
0.609091	0.981129
0.618182	0.981678
0.627273	0.982227
0.636364	0.982775
0.645455	0.983322
0.654545	0.983869
0.663636	0.984415
0.672727	0.98496
0.681818	0.985505
0.690909	0.986048
0.7	0.986591
0.709091	0.987134
0.718182	0.987675
0.727273	0.988216
0.736364	0.988756
0.745455	0.989295
0.754545	0.989833
0.763636	0.99037
0.772727	0.990907
0.781818	0.991442
0.790909	0.991977
0.8	0.992511
0.809091	0.993044
0.818182	0.993576
0.827273	0.994107
0.836364	0.994637
0.845455	0.995166
0.854545	0.995694
0.863636	0.996221
0.872727	0.996747
0.881818	0.997272
0.890909	0.997796
0.9	0.998319
